BUSINESSNAME,BUSINESSTYPECATEGORYDESC,BUSINESSTYPEDESCRIPTION,LOCATIONADDRESSLINE1,LOCATIONADDRESSLINE2,LOCATIONCITY,LOCATIONSTATE,LOCATIONZIP,LOCATIONCOUNTY,VOICEPHONE,WEBSITE,EMAILADDRESS,LOCATIONLAT,LOCATIONLONG,ACTIVESTATUSFLAG,CREDENTIALSTATUS,LICENSEDBEDTOTAL,CERTIFIEDBEDTOTAL,DATASOURCE
"Richard A. Hart, M.D.",Grandfathered Pain Management Clinic,GPMC - GRANDFATHERED PAIN MANAGEMENT CLINIC,213 Perkinswood,N.E.,Warren,OH,44483,Trumbull,(330) 399-2701,,Rahartmd@Aol.Com,41.237886,-80.784779,True,Active,,,PharmacyBoard
Syndolor Medical Llc,Grandfathered Pain Management Clinic,GPMC - GRANDFATHERED PAIN MANAGEMENT CLINIC,Dba Jose A. Torres M.D. 1806 E. Market Street,,Warren,OH,44483,Trumbull,(330) 469-9175,,Syndolor1806@Yahoo.Com,41.255700,-80.809800,True,Active,,,PharmacyBoard
"Verodana, Inc.",Grandfathered Pain Management Clinic,GPMC - GRANDFATHERED PAIN MANAGEMENT CLINIC,4681 Mahoning Avenue,,Warren,OH,44483,Trumbull,(330) 847-1130,,Melissa@Drveres.Com,41.285397,-80.846438,True,Active,,,PharmacyBoard
Mercy Health St Joseph Hospital,HCS,L9  HEALTH CARE SERVICES,667 Eastland Ave Se,,Warren,OH,44484,Trumbull,(330)651-1381,,Jllohry@Mercy.Com,41.230924,-80.778160,True,ACTIVE,,,OHAL
Aceso Home Care Inc,Home Health Agency (HHA),05 HOME HEALTH AGENCY,110 East State Street,,Niles,OH,44446,Trumbull,(330)349-1200,,,41.180056,-80.763923,True,ACTIVE,,,OHAL
"Compassus Bsmh Youngstown Hha, Llc",Home Health Agency (HHA),05 HOME HEALTH AGENCY,"979 Tibbetts-Wick Road, Suite A",,Girard,OH,44420,Trumbull,(330)480-3776,,,41.183973,-80.697471,True,ACTIVE,,,OHAL
Family And Friends Home Care Llc,Home Health Agency (HHA),05 HOME HEALTH AGENCY,767 Park Avenue,,Youngstown,OH,44510,Trumbull,(888)810-8652,,Abunch@Familyandfriendshomecare.Org,41.236200,-80.822317,True,ACTIVE,,,OHAL
Home Health By Windsor Llc,Home Health Agency (HHA),05 HOME HEALTH AGENCY,18 East Liberty Street,,Girard,OH,44420,Trumbull,(330)545-4404,,,41.154174,-80.700402,True,ACTIVE,,,OHAL
"Patriot Homecare, Inc",Home Health Agency (HHA),05 HOME HEALTH AGENCY,986 Tibbetts-Wick Road,,Girard,OH,44420,Trumbull,(330)306-9651,,Sdavis@Patriotathome.Org,41.184272,-80.697324,True,ACTIVE,,,OHAL
Phillips Healthcare,Home Health Agency (HHA),05 HOME HEALTH AGENCY,777 East Market Street,,Warren,OH,44481,Trumbull,(330)531-6110,,Mhunter@Nightingale-Care.Com,41.241263,-80.796982,True,ACTIVE,,,OHAL
Tlc Home Healthcare Llc,Home Health Agency (HHA),05 HOME HEALTH AGENCY,8775 East Market Street Suite 2,,Warren,OH,44484,Trumbull,(330)647-6199,,Keith@Thetlchomehealthcare.Com,41.238098,-80.731936,True,ACTIVE,,,OHAL
"Compassus Bsmh Youngstown Hospice, Llc",Hospice,L3  HOSPICE,979 Tibbetts-Wick Road Suite A,,Girard,OH,44420,Trumbull,(330)788-1992,,Licensure@Compassus.Com,41.184372,-80.693842,True,ACTIVE,,,OHAL
Patriot Hospice Inc,Hospice,16 HOSPICE,986 Tibbets Wick Road Suite 2,,Girard,OH,44420,Trumbull,(330)306-9651,,Sdavis@Patriotathome.Org,41.184709,-80.693278,True,ACTIVE,,,OHAL
Patriot Hospice Inc,Hospice,L3  HOSPICE,986 Tibbetts Wick Rd Ste #2,,Girard,OH,44420,Trumbull,(330)339-1006,,Kdoctor@Patriotathome.Org,41.184709,-80.693278,True,ACTIVE,,,OHAL
Insight Foundation Of Hillside,Hospital,HS - Hospital,8747 Squires Lane,N.E.,Warren,OH,44484,Trumbull,330-841-9458,,Timothy.Gordon@Insightohio.Org,41.249346,-80.731636,True,Active,,,PharmacyBoard
Insight Foundation Of Trumbull,Hospital,HS - Hospital,1350 East Market Street,,Warren,OH,44483,Trumbull,330-841-9458,,Timothy.Gordon@Insightohio.Org,41.236312,-80.799486,True,Active,,,PharmacyBoard
Mercy Health - St Joseph Warren Hospital,Hospital,01 HOSPITAL SHORT TERM,667 Eastland Ave Se,,Warren,OH,44481,Trumbull,,,,41.230924,-80.778160,True,Active,,,Response Facility Listing
"Mercy Health Behavioral Hospital, Llc",Hospital,HS - Hospital,3170 Belmont Ave,,Youngstown,OH,44505,Trumbull,(234) 418-6070,,Dave.Dejacimo@Mercyhrh.Com,41.139503,-80.665688,True,Active,,,PharmacyBoard
"Mercy Health Rehabilitation Hospital, Llc",Hospital,HS - Hospital,3180 Belmont Ave,,Youngstown,OH,44505,Trumbull,(234) 264-8450,,Dave.Dejacimo@Mercyhrh.Com,41.139894,-80.665688,True,Active,,,PharmacyBoard
Mercy Health Youngstown Llc,Hospital,01 HOSPITAL SHORT TERM,667 Eastland Ave Se,,Warren,OH,44484,Trumbull,(330)841-4016,,,41.230924,-80.778160,True,ACTIVE,,,OHAL
Mercy Health Youngstown Llc,Hospital,LH  LICENSED HOSPITAL,667 Eastland Ave Se,,Warren,OH,44484,Trumbull,(330)841-4016,,Hrobb@Mercy.Com,41.230924,-80.778160,True,ACTIVE,200.0,0.0,OHAL
"Remedi Seniorcare Of Oh - Ne, Llc",Hospital,HS - Hospital,615 Churchill Hubbard Rd,,Youngstown,OH,44505,Trumbull,(216) 242-0000,,Gokhan.Acar@Remedirx.Com,41.162194,-80.655819,True,Active,,,PharmacyBoard
"Remedi Seniorcare Of Oh - Ne, Llc",Hospital,HS - Hospital,2282 Reeves Rd Ne Bldg D,,Warren,OH,44483,Trumbull,(216) 242-0000,,Gokhan.Acar@Remedirx.Com,41.253199,-80.787342,True,Active,,,PharmacyBoard
St. Joseph Warren Hospital Main Campus Pharmacy,Hospital,HS - Hospital,667 Eastland Avenue,S.E.,Warren,OH,44484,Trumbull,330-841-4097,,Kevin_Blair@Mercy.Com,41.230924,-80.778160,True,Active,,,PharmacyBoard
Cleveland Clinic Star Imaging Ctr - Niles,Imaging / Diagnostic,IM - Imaging,652 Youngstown Warren Rd,,Niles,OH,44446,Trumbull,(216) 372-4582,,Pharmacylicenses@Ccf.Org,41.193797,-80.726949,True,Active,,,PharmacyBoard
Southwoods Imaging - Howland,Imaging / Diagnostic,IM - Imaging,9371 E Market St Ste 2,,Warren,OH,44484,Trumbull,(330) 985-4846,,Swhclia@Southwoodshealth.Com,41.236990,-80.721454,True,Active,,,PharmacyBoard
Horizon Infusions,Infusion Center,IC - Infusion Center,1950 Niles Cortland Rd Ne Ste 9,,Warren,OH,44484,Trumbull,(513) 792-5861,,Jhuss@Horizoninfusions.Com,41.265199,-80.740688,True,Active,,,PharmacyBoard
Addison Leasing Co Llc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,8055 Addison Rd,,Masury,OH,44438,Trumbull,(330)448-2547,,,41.220790,-80.527326,True,ACTIVE,,34.0,OHAL
Boyd's Kinsman Home,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,7929 State Route 5,,Kinsman,OH,44428,Trumbull,(330)876-5581,,,41.437171,-80.600298,True,ACTIVE,,39.0,OHAL
I Am Boundless Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,1960 East County Line Road Suite 12,,Mineral Ridge,OH,44440,Trumbull,(614)844-3800,,,41.133920,-80.749010,True,ACTIVE,,,OHAL
Rem Ohio Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,403 Hogarth Avenue,,Niles,OH,44446,Trumbull,(330)644-9730,,,41.187456,-80.740823,True,ACTIVE,,5.0,OHAL
Rem Ohio Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,980 Royal Arms Drive,,Girard,OH,44420,Trumbull,(330)644-9730,,,41.176808,-80.647051,True,ACTIVE,,5.0,OHAL
Rem Ohio Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,6246 Mines Road Se,,Warren,OH,44484,Trumbull,(330)644-9730,,,41.210573,-80.741502,True,ACTIVE,,5.0,OHAL
Rem Ohio Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,2767 Tall Oak Circle,,Cortland,OH,44410,Trumbull,(330)644-5216,,,41.293015,-80.744150,True,ACTIVE,,5.0,OHAL
Rem Ohio Inc,Intermediate Care Facility for Intellectually Disabled,11 ICF/IID,335 Wilson Sharpsville Road Nw,,Warren,OH,44481,Trumbull,(330)644-9730,,,41.308328,-80.809544,True,ACTIVE,,5.0,OHAL
Kent State University,Laboratory,LA - Laboratory/Research,4314 Mahoning Ave. Nw,,Warren,OH,44483,Trumbull,(330) 675-7621,,Dchinchi@Kent.Edu,41.277662,-80.842281,True,Active,,,PharmacyBoard
Trumbull County Combined Health District,Local Health Department,,194 W. Main St.,,Cortland,OH,44410,Trumbull,(330) 675-2489,Tcchd.Org,Health@Co.Trumbull.Oh.Us,41.330257,-80.728352,True,,,,LHD
Warren City Health Department,Local Health Department,,258 E. Market St.;  3rd Fl,,Warren,OH,44481,Trumbull,(330) 841-2612,Www.Warren.Org,Jmay@Warren.Org,41.236011,-80.814996,True,,,,LHD
St Joseph Warren Hospital,Maternity,L8  MATERNITY LICENSURE,"667 Eastland Avenue, Se",,Warren,OH,44484,Trumbull,(330)841-4016,,Anna_Klejka@Mercy.Com,41.231288,-80.778164,True,ACTIVE,53.0,0.0,OHAL
"Cortland Healthcare Center, Inc.",Medical Gas Services,OX - Retail Seller/Biller of Oxygen,369 N. High Street,,Cortland,OH,44410,Trumbull,(330) 858-9008,,Charles.Williams@Saberhealth.Com,41.337358,-80.724227,True,Active,,,PharmacyBoard
Gillette Nursing Home,Medical Gas Services,OX - Retail Seller/Biller of Oxygen,3310 Elm Rd Ne,,Warren,OH,44483,Trumbull,(330) 372-1960,,Tjstein96@Aol.Com,41.264969,-80.782854,True,Active,,,PharmacyBoard
"Neighborcare Home Medical Equipment, Llc.Dba Rotech",Medical Gas Services,OX - Retail Seller/Biller of Oxygen,115 W Prospect St,,Girard,OH,44420,Trumbull,(407) 822-4600,,Provider.Services@Rotech.Com,41.157786,-80.703181,True,Active,,,PharmacyBoard
"Respiratory Care Partners, Inc.",Medical Gas Services,OX - Retail Seller/Biller of Oxygen,2868 Niles Cortland Road,N.E.,Cortland,OH,44410,Trumbull,(330) 259-4523,,Awaid@Myrcp.Org,41.296016,-80.733184,True,Active,,,PharmacyBoard
Shepherd Of The Valley,Medical Gas Services,OX - Retail Seller/Biller of Oxygen,4100 North River Road,,Warren,OH,44484,Trumbull,(330) 856-9232,,Tsalvino@Shepherdofthevalley.Com,41.265403,-80.752413,True,Active,,,PharmacyBoard
Shepherd Of The Valley Lutheran Home & Retirement Center Inc.,Medical Gas Services,OX - Retail Seller/Biller of Oxygen,1501 Tibbetts Wick Rd,,Girard,OH,44420,Trumbull,(330) 544-0771,,Rmattix@Shepherdofthevalley.Com,41.176377,-80.737548,True,Active,,,PharmacyBoard
Vista Center At The Ridge,Medical Gas Services,OX - Retail Seller/Biller of Oxygen,3379 Main St,,Mineral Ridge,OH,44440,Trumbull,(330) 652-9901,,Thughey@Continuinghc.Com,41.151008,-80.768981,True,Active,,,PharmacyBoard
White Oak,Medical Gas Services,OX - Retail Seller/Biller of Oxygen,1926 Ridge Ave Se,,Warren,OH,44484,Trumbull,(330) 369-4672,,Administrator@Whiteoakhc.Net,41.217067,-80.781849,True,Active,,,PharmacyBoard
Coleman Professional Services,Mental Health,MH - Mental Health,820 Pine Ave Se Ste A,,Warren,OH,44483,Trumbull,330-673-1347,,Christy.Michaels@Colemanservices.Org,41.235976,-80.818219,True,Active,,,PharmacyBoard
Compass Family And Community Services,Mental Health,MH - Mental Health,320 High St. Ne,,Warren,OH,44481,Trumbull,(330) 531-7509,,Ltepe@Compassfamily.Org,41.237457,-80.814496,True,Active,,,PharmacyBoard
"Embrace Connection Counseling, Llc",Mental Health,MH - Mental Health,3637 State Route 5 Ste 3,,Cortland,OH,44410,Trumbull,(330) 756-7695,,Christinareynolds@Eccounselingllc.Com,41.317001,-80.732245,True,Active,,,PharmacyBoard
"Generations Behavioral Health Clinic, Llc",Mental Health,MH - Mental Health,16 Colonial Dr,,Youngstown,OH,44505,Trumbull,(234) 232-7478,,Jduskey@Generationsbh.Com,41.137154,-80.664461,True,Active,,,PharmacyBoard
Natura Behavioral Health Llc,Mental Health,MH - Mental Health,400 Niles Cortland Rd Se Ste B,,Warren,OH,44484,Trumbull,(330) 798-0491,,Jacob.Hamm@Naturabh.Com,41.235147,-80.740689,True,Active,,,PharmacyBoard
Psycare,Mental Health,MH - Mental Health,2980 Belmont Ave.,,Youngstown,OH,44505,Trumbull,(330) 759-0276,,Mwargo@Psycare.Com,41.135651,-80.665697,True,Active,,,PharmacyBoard
Psycare,Mental Health,MH - Mental Health,8577 East Market Street,,Warren,OH,44484,Trumbull,(330) 759-0276,,Mwargo@Psycare.Com,41.238253,-80.736581,True,Active,,,PharmacyBoard
"Offor Health, Inc.",Mobile Clinic,MC - Mobile Clinic,2987 State Route 5 Bldg 2 Unit E,,Leavittsburg,OH,44430,Trumbull,(614) 401-4415,,Craig.Mittendorf@Offorhealth.Com,41.228124,-80.909931,True,Active,,,PharmacyBoard
Empower You,NATCEP,NT  NATCEP NON FACILITY BASED,1842 E Market St,,Warren,OH,44483,Trumbull,(330)536-9510,,Jv101309@Gmail.Com,41.236413,-80.793357,True,ACTIVE,,,OHAL
Eti Training Center,NATCEP,NT  NATCEP NON FACILITY BASED,2076 Youngstown Warren Road,,Niles,OH,44446,Trumbull,(330)652-9919,,Lisamorgan@Eticollege.Edu,41.203870,-80.738478,True,ACTIVE,,,OHAL
Top Flight Training Center Llc,NATCEP,NT  NATCEP NON FACILITY BASED,1453 Youngstown Kingsville Road,,Vienna,OH,44473,Trumbull,(330)770-8473,,Tftnurseaide@Gmail.Com,41.237600,-80.670500,True,ACTIVE,,,OHAL
Trumbull Career And Technical Center,NATCEP,NT  NATCEP NON FACILITY BASED,528 Educational Highway,,Warren,OH,44483,Trumbull,(330)847-0503,,Barb.Meyer@Tctchome.Com,41.281202,-80.830402,True,ACTIVE,,,OHAL
"2473 North Road Ne Opco, Llc.",Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,2473 North Rd Ne,,Warren,OH,44483,Trumbull,(330)372-2251,,Bmcnabb@Warrennursing.Com,41.263359,-80.774665,True,ACTIVE,,107.0,OHAL
Addison Leasing Co Llc,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,8055 Addison Road Se,,Masury,OH,44438,Trumbull,(330)448-2547,,Megan.Laslo@Chs-Corp.Com,41.220790,-80.527326,True,ACTIVE,,55.0,OHAL
Cortland Center,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,369 N High Street,,Cortland,OH,44410,Trumbull,(330)638-4015,,Charles.Williams@Saberhealth.Com,41.337288,-80.724261,True,ACTIVE,,68.0,OHAL
Cs Opco Llc,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,1320 Mahoning Ave Nw,,Warren,OH,44483,Trumbull,(330)373-1160,,Rreynolds@Communityskilled.Com,41.247250,-80.827302,True,ACTIVE,,110.0,OHAL
"Gillette Nursing Home, Inc.",Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,3310 Elm Rd,,Warren,OH,44483,Trumbull,(330)372-1960,,Tjstein96@Aol.Com,41.264662,-80.782919,True,ACTIVE,,99.0,OHAL
Harbor Operator Llc,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,202 Washington Street Nw,,Warren,OH,44483,Trumbull,(330)399-8997,,Vithomas@Washingtonsquarehc.Com,41.241986,-80.819297,True,ACTIVE,,83.0,OHAL
Laurie Ann Nursing Home,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,2200 Milton Boulevard,,Newton Falls,OH,44444,Trumbull,(330)872-1990,,Administrator@Ccrcvi.Com,41.171176,-80.958925,True,ACTIVE,,60.0,OHAL
"Liberty Health Care Center, In",Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,1355 Churchill Hubbard Rd,,Youngstown,OH,44505,Trumbull,(330)759-7858,,Khaurin@Windsorhouseinc.Com,41.162337,-80.639148,True,ACTIVE,,110.0,OHAL
Meadowbrook Manor,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,3090 Five Points Hartford,,Fowler,OH,44418,Trumbull,(330)772-5253,,Afularz@Concordcarecenters.Com,41.303774,-80.571433,True,ACTIVE,,54.0,OHAL
Niles Skilled Nursing Llc,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,2565 Niles Vienna Rd,,Niles,OH,44446,Trumbull,(330)652-2053,,Ebannister@Continuinghc.Com,41.203858,-80.714866,True,ACTIVE,,120.0,OHAL
O'brien Memorial Nursing Home,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,563 Brookfield Ave Se,,Masury,OH,44438,Trumbull,(330)448-2557,,Gorenic@Windsorhouseinc.Com,41.228655,-80.526408,True,ACTIVE,0.0,87.0,OHAL
Ohio Living Communities,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,303 North Mecca Street,,Cortland,OH,44410,Trumbull,(330)638-2420,,Bkolenich@Ohioliving.Org,41.335511,-80.731170,True,ACTIVE,,39.0,OHAL
Shepherd Of The Valley - Howla,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,4100 North River Road,,Howland,OH,44484,Trumbull,(330)856-9232,,Tsalvino@Shepherdofthevalley.Com,41.265403,-80.752413,True,ACTIVE,0.0,65.0,OHAL
"Shepherd Of The Valley Lutheran Retirement Services, Inc.",Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,1501 Tibbetts Wick Road,,Girard,OH,44420,Trumbull,(330)544-0771,,Rmattix@Shepherdofthevalley.Com,41.183857,-80.676036,True,ACTIVE,,79.0,OHAL
Vista Center At The Ridge,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,3379 Main Street,,Mineral Ridge,OH,44440,Trumbull,(330)652-9901,,Bparsons@Continuinghc.Com,41.147298,-80.768646,True,ACTIVE,,155.0,OHAL
Warren Operations Llc,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,1926 Ridge Avenue,,Warren,OH,44484,Trumbull,(330)369-4672,,Administrator@Whiteoakhc.Net,41.219308,-80.780138,True,ACTIVE,,52.0,OHAL
Windsor House At Champion,Nursing Home (Certified and Licensed),02 SNF/NF DUAL CERT,200 East Glendola Avenue,,Champion,OH,44483,Trumbull,(330)847-6266,,Lsardich@Windsorhouseinc.Com,41.296864,-80.852098,True,ACTIVE,0.0,100.0,OHAL
"2473 North Road Ne Opco, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,2473 North Road Ne,,Warren,OH,44483,Trumbull,(330)518-6207,,Lantunez@Warrennursing.Com,41.263359,-80.774665,True,ACTIVE,107.0,0.0,OHAL
"Addison Leasing Co., Llc",Nursing Home (Licensed Only),L1  NURSING HOME,"8055 Addison Road, Se",,Masury,OH,44438,Trumbull,(330)448-2547,,Megan.Laslo@Chs-Corp.Com,41.220790,-80.527326,True,ACTIVE,55.0,0.0,OHAL
Charles Stein,Nursing Home (Licensed Only),L1  NURSING HOME,"3310 Elm Road, Ne",,Warren,OH,44483,Trumbull,(330)372-1960,,Tjstein96@Aol.Com,41.264662,-80.782919,True,ACTIVE,99.0,0.0,OHAL
"Continent Health Company Of Hartford, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,3090 Five Points-Hartford Road,,Fowler,OH,44418,Trumbull,(330)772-5253,,Jcuhran@Washingtonsquarehc.Com,41.303774,-80.571433,True,ACTIVE,54.0,0.0,OHAL
"Cortland Healthcare Group, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,369 North High Street,,Cortland,OH,44410,Trumbull,(330)638-4015,,Charles.Williams@Saberhealth.Com,41.337288,-80.724261,True,ACTIVE,68.0,0.0,OHAL
Cs Opco Llc,Nursing Home (Licensed Only),L1  NURSING HOME,"1320 Mahoning Avenue, Nw",,Warren,OH,44483,Trumbull,(330)373-1160,,Cmillman@Luxorhealthcaregroup.Com,41.247250,-80.827302,True,ACTIVE,110.0,0.0,OHAL
"Harbor Operator, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,"202 Washington Street, Nw",,Warren,OH,44483,Trumbull,(330)399-8997,,Vithomas@Washingtonsquarehc.Com,41.241986,-80.819297,True,ACTIVE,83.0,0.0,OHAL
"Hooberry And Associates, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,2200 Milton Boulevard,,Newton Falls,OH,44444,Trumbull,(330)420-8753,,Administrator@Ccrcvi.Com,41.171176,-80.958925,True,ACTIVE,60.0,0.0,OHAL
"Liberty Health Care Center, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,1355 Churchill-Hubbard Road,,Youngstown,OH,44505,Trumbull,(330)759-7858,,Ahutchison@Windsorhouseinc.Com,41.162337,-80.639148,True,ACTIVE,110.0,0.0,OHAL
"Mineral Ridge Skilled Nursing And Residential Care, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,3379 Main Street,,Mineral Ridge,OH,44440,Trumbull,(330)652-9901,,Thughey@Continuinghc.Com,41.147298,-80.768646,True,ACTIVE,155.0,0.0,OHAL
"Niles Skilled Nursing, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,2565 Niles-Vienna Road,,Niles,OH,44446,Trumbull,(330)652-2053,,Thughey@Continuinghc.Com,41.203858,-80.714866,True,ACTIVE,120.0,0.0,OHAL
O'brien Memorial Nursing Home,Nursing Home (Licensed Only),L1  NURSING HOME,"563 Brookfield Avenue, Se",,Masury,OH,44438,Trumbull,(330)448-2557,,Gorenic@Windsorhouseinc.Com,41.228655,-80.526408,True,ACTIVE,87.0,0.0,OHAL
Otterbein Cortland Llc,Nursing Home (Licensed Only),L1  NURSING HOME,303 North Mecca Street,,Cortland,OH,44410,Trumbull,(330)638-2420,,Bkolenich@Ohioliving.Org,41.335511,-80.731170,True,ACTIVE,39.0,0.0,OHAL
"Shepherd Of The Valley Lutheran Retirement Services, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,1501 Tibbetts-Wick Road,,Girard,OH,44420,Trumbull,(330)544-0771,,Cparish@Shepherdofthevalley.Com,41.183857,-80.676036,True,ACTIVE,79.0,0.0,OHAL
"Shepherd Of The Valley Lutheran Retirement Services, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,4100 North River Road,,Warren,OH,44484,Trumbull,(330)856-9232,,Tsalvino@Shepherdofthevalley.Com,41.265403,-80.752413,True,ACTIVE,65.0,0.0,OHAL
"Warren Operations, Llc",Nursing Home (Licensed Only),L1  NURSING HOME,1926 Ridge Avenue,,Warren,OH,44484,Trumbull,(330)369-4672,,Nciccone@Islehs.Com,41.219308,-80.780138,True,ACTIVE,52.0,0.0,OHAL
"Windsor House At Champion, Inc.",Nursing Home (Licensed Only),L1  NURSING HOME,200 E Glendola Avenue,,Champion,OH,44483,Trumbull,(330)847-6266,,Lsardich@Windsorhouseinc.Com,41.296864,-80.852098,True,ACTIVE,100.0,0.0,OHAL
Accudose Pharmacy,Nursing Home Pharmacy,NH - Nursing Home,1500 Mckinley Ave,,Niles,OH,44446,Trumbull,(888) 222-6185,,Info@Accudoserx.Com,41.176378,-80.737549,True,Active,,,PharmacyBoard
Accuscripts Pharmacy,Nursing Home Pharmacy,NH - Nursing Home,3310 Elm Road,N.E.,Warren,OH,44483,Trumbull,(440) 250-5400,,Cbaughman@Accuscriptspharmacy.Com,41.264969,-80.782854,True,Active,,,PharmacyBoard
Citywide Rx Llc,Nursing Home Pharmacy,NH - Nursing Home,202 Washington St Nw,,Warren,OH,44483,Trumbull,(614) 407-8000,,Eschwartz@Srxltc.Com,41.241980,-80.820324,True,Active,,,PharmacyBoard
"Harvest Grove Ltc, Llc",Nursing Home Pharmacy,NH - Nursing Home,2565 Niles-Vienna Rd.,,Niles,OH,44446,Trumbull,502-630-7494,,Compliance@Pharmerica.Com,41.198613,-80.724984,True,Active,,,PharmacyBoard
"Harvest Grove Ltc, Llc",Nursing Home Pharmacy,NH - Nursing Home,2567 Niles-Vienna Rd.,,Niles,OH,44446,Trumbull,502-630-7494,,Compliance@Pharmerica.Com,,,True,Active,,,PharmacyBoard
Medi-Rx Corporation,Nursing Home Pharmacy,NH - Nursing Home,563 Brookfield S.E.,,Masury,OH,44438,Trumbull,(330) 757-8555,,Christineknapik@Zoominternet.Net,41.229204,-80.526414,True,Active,,,PharmacyBoard
Medi-Rx Corporation,Nursing Home Pharmacy,NH - Nursing Home,200 East Glendola Avenue,,Champion,OH,44481,Trumbull,(330) 757-8555,,Christineknapik@Zoominternet.Net,41.296867,-80.852172,True,Active,,,PharmacyBoard
Medi-Rx Corporation,Nursing Home Pharmacy,NH - Nursing Home,4100 North River Road,N.E.,Warren,OH,44484,Trumbull,(330) 757-8555,,Christineknapik@Zoominternet.Net,41.265403,-80.752413,True,Active,,,PharmacyBoard
Medi-Rx Corporation,Nursing Home Pharmacy,NH - Nursing Home,1355 Churchill-Hubbard Road,,Youngstown,OH,44505,Trumbull,(330) 757-8555,,Christineknapik@Zoominternet.Net,41.162317,-80.640946,True,Active,,,PharmacyBoard
Medi-Rx Corporation,Nursing Home Pharmacy,NH - Nursing Home,1501 Tibbetts Wick Rd,,Girard,OH,44420,Trumbull,(330) 757-8555,,Christineknapik@Zoominternet.Net,41.176377,-80.737548,True,Active,,,PharmacyBoard
Medwiz Of Kentucky Llc,Nursing Home Pharmacy,NH - Nursing Home,1320 Mahoning Ave Nw,,Warren,OH,44483,Trumbull,(859) 479-3990,,Admink@Medwizrx.Com,41.247365,-80.827358,True,Active,,,PharmacyBoard
"Oh Chs Pharmacy Services, Llc",Nursing Home Pharmacy,NH - Nursing Home,8055 Addison Rd,,Masury,OH,44438,Trumbull,216-353-3194,,Licensurenotices@Chs-Corp.Com,41.220785,-80.527480,True,Active,,,PharmacyBoard
"Oh Chs Pharmacy Services, Llc",Nursing Home Pharmacy,NH - Nursing Home,8055 Addison Rd,,Masury,OH,44438,Trumbull,216-353-3194,,Licensurenotices@Chs-Corp.Com,41.220785,-80.527480,True,Active,,,PharmacyBoard
Omnicare Of Wadsworth,Nursing Home Pharmacy,NH - Nursing Home,369 North High Street,,Cortland,OH,44410,Trumbull,(401) 770-4530,,Permitinfo@Cvshealth.Com,41.337358,-80.724227,True,Active,,,PharmacyBoard
Paragon Rx,Nursing Home Pharmacy,NH - Nursing Home,2200 Milton Blvd,,Newton Falls,OH,44444,Trumbull,440-463-0446,,Swong@Paragonrxus.Com,41.175717,-80.964834,True,Active,,,PharmacyBoard
Paragon Rx,Nursing Home Pharmacy,NH - Nursing Home,8785 Youngstown Kingsville Rd,,Farmdale,OH,44417,Trumbull,440-463-0446,,Swong@Paragonrxus.Com,41.459585,-80.665716,True,Active,,,PharmacyBoard
Pharmerica,Nursing Home Pharmacy,NH - Nursing Home,65 S. William Street,,Johnston,OH,43031,Trumbull,(614) 430-9170,,Melissa.Wheatley@Pharmerica.Com,40.151627,-82.686258,True,Active,,,PharmacyBoard
Pharmscript Of Oh Llc,Nursing Home Pharmacy,NH - Nursing Home,2473 North Road Ne Warren Health And Rehabilitation,,Warren,OH,44483,Trumbull,(732) 227-4076,,Licensing@Pharmscript.Com,,,True,Active,,,PharmacyBoard
